run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline,RF_height
168784,13,25,24,0.623,0.767,0.718,6.475,141.627,0.821,3.87
168784,13,25,25,0.625,0.768,0.723,6.451,143.101,0.821,3.87
168784,13,25,26,0.625,0.769,0.723,6.349,142.863,0.821,3.87
168784,13,25,27,0.626,0.769,0.723,6.304,144.996,0.821,3.87
168784,13,25,28,0.627,0.772,0.723,6.229,150.476,0.821,3.87
168784,13,25,29,0.628,0.777,0.723,6.214,162.482,0.821,3.87
168784,13,25,30,0.629,0.779,0.723,6.187,175.085,0.821,3.87
168784,13,25,31,0.63,0.781,0.723,6.168,192.692,0.821,3.87
168784,13,25,32,0.631,0.783,0.723,6.21,218.309,0.821,3.87
168784,13,25,33,0.631,0.784,0.723,6.262,235.227,0.821,3.87
168784,13,25,34,0.631,0.787,0.723,6.381,262.257,0.821,3.87
168784,13,25,35,0.632,0.787,0.723,6.457,281.756,0.821,3.87
168784,13,25,36,0.632,0.788,0.728,6.49,295.891,0.821,3.87
168784,13,25,37,0.632,0.789,0.728,6.564,301.52,0.821,3.87
168784,13,25,38,0.632,0.789,0.728,6.611,316.228,0.821,3.87
168784,13,25,39,0.633,0.792,0.728,6.605,315.05,0.821,3.87
168784,13,25,40,0.633,0.792,0.728,6.57,314.553,0.821,3.87
168784,13,25,41,0.632,0.793,0.728,6.61,312.623,0.821,3.87
168784,13,25,42,0.632,0.794,0.728,6.633,327.315,0.821,3.87
168784,13,25,43,0.633,0.796,0.728,6.564,348.118,0.821,3.87
168784,13,25,44,0.633,0.795,0.728,6.546,350.441,0.821,3.87
168784,13,25,45,0.633,0.794,0.728,6.516,350.099,0.821,3.87
168784,13,25,46,0.633,0.795,0.728,6.549,355.329,0.821,3.87
168784,13,25,47,0.633,0.797,0.733,6.581,361.662,0.821,3.87
168784,13,25,48,0.633,0.797,0.733,6.604,368.035,0.821,3.87
168784,13,25,49,0.633,0.797,0.733,6.644,374.859,0.821,3.87
168784,10,1,0,0.572,0.686,0.667,9.218,208.95,0.831,3.961
168784,10,1,1,0.572,0.686,0.667,9.218,208.95,0.831,3.961
168784,10,1,2,0.568,0.679,0.656,9.234,245.533,0.831,3.961
168784,10,1,3,0.566,0.675,0.651,9.75,272.924,0.831,3.961
168784,10,1,4,0.565,0.674,0.651,9.854,288.924,0.831,3.961
168784,10,1,5,0.567,0.679,0.656,9.811,280.472,0.831,3.961
168784,10,1,6,0.569,0.681,0.656,9.812,280.52,0.831,3.961
168784,10,1,7,0.57,0.685,0.656,9.712,289.596,0.831,3.961
168784,10,1,8,0.572,0.686,0.667,9.659,292.536,0.831,3.961
168784,10,1,9,0.572,0.688,0.672,9.575,286.073,0.831,3.961
168784,10,1,10,0.573,0.689,0.672,9.467,284.128,0.831,3.961
168784,10,1,11,0.573,0.689,0.672,9.392,283.662,0.831,3.961
168784,10,1,12,0.573,0.69,0.677,9.253,289.67,0.831,3.961
168784,10,1,13,0.573,0.69,0.672,9.176,288.818,0.831,3.961
168784,10,1,14,0.573,0.688,0.672,9.019,286.118,0.831,3.961
168784,10,1,15,0.573,0.688,0.672,8.899,284.329,0.831,3.961
168784,10,1,16,0.573,0.689,0.667,8.759,276.263,0.831,3.961
168784,10,1,17,0.573,0.689,0.667,8.764,269.94,0.831,3.961
